03/24 14:36:57 [DEBUG] [122020] [COMPS.Client] Parsed login host: ('https', 'comps.idmod.org', None)
03/24 14:36:57 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id', 'filters': 'SimulationState=0,ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:36:58 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:37:03 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:37:08 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:37:14 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:37:19 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:37:24 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:37:29 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:37:34 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:37:39 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
