archetype,approximate_pfpr2_10,habitat_scale,exp_id,sim_id,path
Southern,0.05,7.1,ae162b7e-1f8f-eb11-a2ce-c4346bcb1550,7eaf9a84-1f8f-eb11-a2ce-c4346bcb1550,\\internal.idm.ctr\IDM\Home\jsuresh\output\sac_ipt_southern_burnins_final_20210327_171247\1d8\3e6\8a1\1d83e68a-1f8f-eb11-a2ce-c4346bcb1550
Southern,0.15,7.7,ae162b7e-1f8f-eb11-a2ce-c4346bcb1550,7faf9a84-1f8f-eb11-a2ce-c4346bcb1550,\\internal.idm.ctr\IDM\Home\jsuresh\output\sac_ipt_southern_burnins_final_20210327_171247\1e8\3e6\8a1\1e83e68a-1f8f-eb11-a2ce-c4346bcb1550
Southern,0.25,8.2,ae162b7e-1f8f-eb11-a2ce-c4346bcb1550,80af9a84-1f8f-eb11-a2ce-c4346bcb1550,\\internal.idm.ctr\IDM\Home\jsuresh\output\sac_ipt_southern_burnins_final_20210327_171247\1f8\3e6\8a1\1f83e68a-1f8f-eb11-a2ce-c4346bcb1550
Southern,0.35,8.6,ae162b7e-1f8f-eb11-a2ce-c4346bcb1550,82af9a84-1f8f-eb11-a2ce-c4346bcb1550,\\internal.idm.ctr\IDM\Home\jsuresh\output\sac_ipt_southern_burnins_final_20210327_171247\218\3e6\8a1\2183e68a-1f8f-eb11-a2ce-c4346bcb1550
Sahel,0.05,7.85,28b150c1-f492-eb11-a2ce-c4346bcb1550,29b150c1-f492-eb11-a2ce-c4346bcb1550,\\internal.idm.ctr\IDM\Home\jsuresh\output\sac_ipt_sahel_burnins_v1_extra_20210401_141657\aa7\7ed\cef\aa77edce-f492-eb11-a2ce-c4346bcb1550
Sahel,0.15,8.5,a41082e1-a592-eb11-a2ce-c4346bcb1550,a61082e1-a592-eb11-a2ce-c4346bcb1550,\\internal.idm.ctr\IDM\Home\jsuresh\output\sac_ipt_sahel_burnins_v1_extra_20210401_045220\de4\2a4\eba\de42a4eb-a592-eb11-a2ce-c4346bcb1550
Sahel,0.25,9.0,06818a2f-7192-eb11-a2ce-c4346bcb1550,f16b8c35-7192-eb11-a2ce-c4346bcb1550,\\internal.idm.ctr\IDM\Home\jsuresh\output\sac_ipt_sahel_burnins_v1_20210331_223509\f76\b8c\357\f76b8c35-7192-eb11-a2ce-c4346bcb1550
Sahel,0.35,9.5,06818a2f-7192-eb11-a2ce-c4346bcb1550,f26b8c35-7192-eb11-a2ce-c4346bcb1550,\\internal.idm.ctr\IDM\Home\jsuresh\output\sac_ipt_sahel_burnins_v1_20210331_223509\016\c8c\357\016c8c35-7192-eb11-a2ce-c4346bcb1550
Central,0.2,8.1,23b4caab-c9a9-eb11-a2e3-c4346bcb7275,46315bb6-c9a9-eb11-a2e3-c4346bcb7275,\\internal.idm.ctr\IDM\Home\jsuresh\output\sac_ipt_central_burnins_additional_20210430_153643\0a8\ac9\c4c\0a8ac9c4-c9a9-eb11-a2e3-c4346bcb7275
Central,0.3,8.4,23b4caab-c9a9-eb11-a2e3-c4346bcb7275,43315bb6-c9a9-eb11-a2e3-c4346bcb7275,\\internal.idm.ctr\IDM\Home\jsuresh\output\sac_ipt_central_burnins_additional_20210430_153643\0d8\ac9\c4c\0d8ac9c4-c9a9-eb11-a2e3-c4346bcb7275
Central,0.4,8.7,23b4caab-c9a9-eb11-a2e3-c4346bcb7275,3e315bb6-c9a9-eb11-a2e3-c4346bcb7275,\\internal.idm.ctr\IDM\Home\jsuresh\output\sac_ipt_central_burnins_additional_20210430_153643\158\ac9\c4c\158ac9c4-c9a9-eb11-a2e3-c4346bcb7275
Central,0.45,9.0,63b1cb7a-31a9-eb11-a2e3-c4346bcb7275,6ab1cb7a-31a9-eb11-a2e3-c4346bcb7275,\\internal.idm.ctr\IDM\Home\jsuresh\output\sac_ipt_central_burnins_20210429_212716\887\c08\873\887c0887-31a9-eb11-a2e3-c4346bcb7275
Central,0.5,9.3,23b4caab-c9a9-eb11-a2e3-c4346bcb7275,3c315bb6-c9a9-eb11-a2e3-c4346bcb7275,\\internal.idm.ctr\IDM\Home\jsuresh\output\sac_ipt_central_burnins_additional_20210430_153643\248\ac9\c4c\248ac9c4-c9a9-eb11-a2e3-c4346bcb7275
Central,0.6,9.5,23b4caab-c9a9-eb11-a2e3-c4346bcb7275,39315bb6-c9a9-eb11-a2e3-c4346bcb7275,\\internal.idm.ctr\IDM\Home\jsuresh\output\sac_ipt_central_burnins_additional_20210430_153643\318\ac9\c4c\318ac9c4-c9a9-eb11-a2e3-c4346bcb7275
