archetype,interval,day
Southern,month,15
Southern,month,46
Southern,month,74
Southern,month,105
Southern,month,135
Southern,month,166
Southern,month,196
Southern,month,227
Southern,month,244
Southern,month,274
Southern,month,305
Southern,month,335
Southern,term,15
Southern,term,165
Southern,term,254
Southern,day,15
Southern,day,16
Southern,day,17
Southern,day,18
Southern,day,19
Southern,day,20
Southern,day,21
Southern,day,22
Southern,day,23
Southern,day,24
Southern,day,25
Southern,day,26
Southern,day,27
Southern,day,28
Southern,day,29
Southern,day,30
Southern,day,31
Southern,day,32
Southern,day,33
Southern,day,34
Southern,day,35
Southern,day,36
Southern,day,37
Southern,day,38
Southern,day,39
Southern,day,40
Southern,day,41
Southern,day,42
Southern,day,43
Southern,day,44
Southern,day,45
Southern,day,46
Southern,day,47
Southern,day,48
Southern,day,49
Southern,day,50
Southern,day,51
Southern,day,52
Southern,day,53
Southern,day,54
Southern,day,55
Southern,day,56
Southern,day,57
Southern,day,58
Southern,day,59
Southern,day,60
Southern,day,61
Southern,day,62
Southern,day,63
Southern,day,64
Southern,day,65
Southern,day,66
Southern,day,67
Southern,day,68
Southern,day,69
Southern,day,70
Southern,day,71
Southern,day,72
Southern,day,73
Southern,day,74
Southern,day,75
Southern,day,76
Southern,day,77
Southern,day,78
Southern,day,79
Southern,day,80
Southern,day,81
Southern,day,82
Southern,day,83
Southern,day,84
Southern,day,85
Southern,day,86
Southern,day,87
Southern,day,88
Southern,day,89
Southern,day,90
Southern,day,91
Southern,day,92
Southern,day,93
Southern,day,94
Southern,day,95
Southern,day,96
Southern,day,97
Southern,day,98
Southern,day,99
Southern,day,100
Southern,day,101
Southern,day,102
Southern,day,103
Southern,day,104
Southern,day,105
Southern,day,135
Southern,day,136
Southern,day,137
Southern,day,138
Southern,day,139
Southern,day,140
Southern,day,141
Southern,day,142
Southern,day,143
Southern,day,144
Southern,day,145
Southern,day,146
Southern,day,147
Southern,day,148
Southern,day,149
Southern,day,150
Southern,day,151
Southern,day,152
Southern,day,153
Southern,day,154
Southern,day,155
Southern,day,156
Southern,day,157
Southern,day,158
Southern,day,159
Southern,day,160
Southern,day,161
Southern,day,162
Southern,day,163
Southern,day,164
Southern,day,165
Southern,day,166
Southern,day,167
Southern,day,168
Southern,day,169
Southern,day,170
Southern,day,171
Southern,day,172
Southern,day,173
Southern,day,174
Southern,day,175
Southern,day,176
Southern,day,177
Southern,day,178
Southern,day,179
Southern,day,180
Southern,day,181
Southern,day,182
Southern,day,183
Southern,day,184
Southern,day,185
Southern,day,186
Southern,day,187
Southern,day,188
Southern,day,189
Southern,day,190
Southern,day,191
Southern,day,192
Southern,day,193
Southern,day,194
Southern,day,195
Southern,day,196
Southern,day,197
Southern,day,198
Southern,day,199
Southern,day,200
Southern,day,201
Southern,day,202
Southern,day,203
Southern,day,204
Southern,day,205
Southern,day,206
Southern,day,207
Southern,day,208
Southern,day,209
Southern,day,210
Southern,day,211
Southern,day,212
Southern,day,213
Southern,day,214
Southern,day,215
Southern,day,216
Southern,day,217
Southern,day,218
Southern,day,219
Southern,day,220
Southern,day,221
Southern,day,222
Southern,day,223
Southern,day,224
Southern,day,225
Southern,day,226
Southern,day,227
Southern,day,244
Southern,day,245
Southern,day,246
Southern,day,247
Southern,day,248
Southern,day,249
Southern,day,250
Southern,day,251
Southern,day,252
Southern,day,253
Southern,day,254
Southern,day,255
Southern,day,256
Southern,day,257
Southern,day,258
Southern,day,259
Southern,day,260
Southern,day,261
Southern,day,262
Southern,day,263
Southern,day,264
Southern,day,265
Southern,day,266
Southern,day,267
Southern,day,268
Southern,day,269
Southern,day,270
Southern,day,271
Southern,day,272
Southern,day,273
Southern,day,274
Southern,day,275
Southern,day,276
Southern,day,277
Southern,day,278
Southern,day,279
Southern,day,280
Southern,day,281
Southern,day,282
Southern,day,283
Southern,day,284
Southern,day,285
Southern,day,286
Southern,day,287
Southern,day,288
Southern,day,289
Southern,day,290
Southern,day,291
Southern,day,292
Southern,day,293
Southern,day,294
Southern,day,295
Southern,day,296
Southern,day,297
Southern,day,298
Southern,day,299
Southern,day,300
Southern,day,301
Southern,day,302
Southern,day,303
Southern,day,304
Southern,day,305
Southern,day,306
Southern,day,307
Southern,day,308
Southern,day,309
Southern,day,310
Southern,day,311
Southern,day,312
Southern,day,313
Southern,day,314
Southern,day,315
Southern,day,316
Southern,day,317
Southern,day,318
Southern,day,319
Southern,day,320
Southern,day,321
Southern,day,322
Southern,day,323
Southern,day,324
Southern,day,325
Southern,day,326
Southern,day,327
Southern,day,328
Southern,day,329
Southern,day,330
Southern,day,331
Southern,day,332
Southern,day,333
Southern,day,334
Southern,day,335
Sahel,month,105
Sahel,month,135
Sahel,month,258
Sahel,month,288
Sahel,month,319
Sahel,month,349
Sahel,term,2
Sahel,term,151
Sahel,term,278
Sahel,day,2
Sahel,day,3
Sahel,day,4
Sahel,day,5
Sahel,day,6
Sahel,day,7
Sahel,day,8
Sahel,day,9
Sahel,day,10
Sahel,day,11
Sahel,day,12
Sahel,day,13
Sahel,day,14
Sahel,day,15
Sahel,day,16
Sahel,day,17
Sahel,day,18
Sahel,day,19
Sahel,day,20
Sahel,day,21
Sahel,day,22
Sahel,day,23
Sahel,day,24
Sahel,day,25
Sahel,day,26
Sahel,day,27
