"event","fulldate","cov_newclin_youth","cov_newclin_adult","cov_severe_youth","cov_severe_adult","duration","grid_cell"
"1","2010-01-01",0.271368118247129,0.135684059123565,0.9,0.8,1642,37
"2","2014-07-01",0.331829867240215,0.165914933620107,0.9,0.8,18250,37
"1","2010-01-01",0.301340072153435,0.150670036076717,0.9,0.8,1642,38
"2","2014-07-01",0.378962961471416,0.189481480735708,0.9,0.8,18250,38
"1","2010-01-01",0.315157676457785,0.157578838228892,0.9,0.8,1642,39
"2","2014-07-01",0.402766709402421,0.20138335470121,0.9,0.8,18250,39
"1","2010-01-01",0.35591775346997,0.177958876734985,0.9,0.8,1642,40
"2","2014-07-01",0.485364990848206,0.242682495424103,0.9,0.8,18250,40
"1","2010-01-01",0.383743051771358,0.191871525885679,0.9,0.8,1642,41
"2","2014-07-01",0.561151711743122,0.280575855871561,0.9,0.8,18250,41
"1","2010-01-01",0.249157650983255,0.124578825491627,0.9,0.8,1642,45
"2","2014-07-01",0.350730648831992,0.175365324415996,0.9,0.8,18250,45
"1","2010-01-01",0.254538070233293,0.127269035116646,0.9,0.8,1642,46
"2","2014-07-01",0.359082200849446,0.179541100424723,0.9,0.8,18250,46
"1","2010-01-01",0.273152738977639,0.13657636948882,0.9,0.8,1642,47
"2","2014-07-01",0.33449605593134,0.16724802796567,0.9,0.8,18250,47
"1","2010-01-01",0.300379151939228,0.150189575969614,0.9,0.8,1642,48
"2","2014-07-01",0.373874679980393,0.186937339990197,0.9,0.8,18250,48
"1","2010-01-01",0.323497709948041,0.16174885497402,0.9,0.8,1642,49
"2","2014-07-01",0.41656697117552,0.20828348558776,0.9,0.8,18250,49
"1","2010-01-01",0.357426900130674,0.178713450065337,0.9,0.8,1642,50
"2","2014-07-01",0.488907188212622,0.244453594106311,0.9,0.8,18250,50
"1","2010-01-01",0.382920121805348,0.191460060902674,0.9,0.8,1642,51
"2","2014-07-01",0.558517564447097,0.279258782223549,0.9,0.8,18250,51
"1","2010-01-01",0.361846647232732,0.180923323616366,0.9,0.8,1642,52
