hab,eir,pfpr2_10
10.5,607.4624091,0.509414286
10.5,534.6397267,0.508147377
10.5,538.401654,0.503823522
10.5,583.7837533,0.508342824
10,214.6515732,0.456637362
10,165.8901871,0.440189182
10,194.7258011,0.44051259
10,182.3520578,0.443597735
9.5,63.14231638,0.350387677
9.5,62.92689436,0.341563846
9.5,62.89117758,0.343794665
9.5,65.59524938,0.359233299
9,22.47528267,0.261124382
9,20.95779108,0.255323686
9,20.97124591,0.256825987
9,17.8713109,0.254041972
8.6,8.030417038,0.170545962
8.6,5.953964402,0.149726045
8.6,7.196810959,0.157596224
8.6,8.073667985,0.1656849
8.2,4.497745354,0.133271796
8.2,3.002863569,0.115631117
8.2,4.480387374,0.131837876
8.2,5.007378468,0.137862997
7.7,0.52647865,0.033362762
7.7,0.648091265,0.036293911
7.7,0.589898885,0.036497519
7.7,0.608288351,0.039405929
7.8,0.679347134,0.037778514
7.8,0.370291825,0.029540624
7.8,0.376319812,0.023772937
7.8,0.621954241,0.032230089
8.5,7.668943109,0.173008441
8.5,6.106774429,0.157257866
8.5,6.394677287,0.145462427
8.5,8.144690187,0.164937544
7.95,0.517225672,0.043514297
7.95,0.535296325,0.040428394
7.95,0.967927896,0.051063448
7.95,1.622237063,0.071070419
8,1.431600179,0.061564663
8,0.807417028,0.047066857
8,1.447337429,0.056695811
8,1.911871055,0.071111728
7.9,1.029103413,0.053856939
7.9,0.940776363,0.055499968
7.9,1.508053358,0.064732336
7.9,1.100737062,0.062963235
7.85,1.842360332,0.077458326
7.85,0.996046291,0.055144027
7.85,1.2212522,0.061771045
7.85,1.464019171,0.069565045
