term1_day,term2_day,term3_day,scenario
258,2,95,0
258,2,105,1
258,2,115,2
258,2,125,3
258,2,135,4
258,2,145,5
258,2,151,6
258,12,95,7
258,12,105,8
258,12,115,9
258,12,125,10
258,12,135,11
258,12,145,12
258,12,151,13
258,22,95,14
258,22,105,15
258,22,115,16
258,22,125,17
258,22,135,18
258,22,145,19
258,22,151,20
258,32,95,21
258,32,105,22
258,32,115,23
258,32,125,24
258,32,135,25
258,32,145,26
258,32,151,27
258,42,95,28
258,42,105,29
258,42,115,30
258,42,125,31
258,42,135,32
258,42,145,33
258,42,151,34
258,52,95,35
258,52,105,36
258,52,115,37
258,52,125,38
258,52,135,39
258,52,145,40
258,52,151,41
258,62,95,42
258,62,105,43
258,62,115,44
258,62,125,45
258,62,135,46
258,62,145,47
258,62,151,48
258,72,95,49
258,72,105,50
258,72,115,51
258,72,125,52
258,72,135,53
258,72,145,54
258,72,151,55
258,82,95,56
258,82,105,57
258,82,115,58
258,82,125,59
258,82,135,60
258,82,145,61
258,82,151,62
258,90,95,63
258,90,105,64
258,90,115,65
258,90,125,66
258,90,135,67
258,90,145,68
258,90,151,69
268,2,95,70
268,2,105,71
268,2,115,72
268,2,125,73
268,2,135,74
268,2,145,75
268,2,151,76
268,12,95,77
268,12,105,78
268,12,115,79
268,12,125,80
268,12,135,81
268,12,145,82
268,12,151,83
268,22,95,84
268,22,105,85
268,22,115,86
268,22,125,87
268,22,135,88
268,22,145,89
268,22,151,90
268,32,95,91
268,32,105,92
268,32,115,93
268,32,125,94
268,32,135,95
268,32,145,96
268,32,151,97
268,42,95,98
268,42,105,99
268,42,115,100
268,42,125,101
268,42,135,102
268,42,145,103
268,42,151,104
268,52,95,105
268,52,105,106
268,52,115,107
268,52,125,108
268,52,135,109
268,52,145,110
268,52,151,111
268,62,95,112
268,62,105,113
268,62,115,114
268,62,125,115
268,62,135,116
268,62,145,117
268,62,151,118
268,72,95,119
268,72,105,120
268,72,115,121
268,72,125,122
268,72,135,123
268,72,145,124
268,72,151,125
268,82,95,126
268,82,105,127
268,82,115,128
268,82,125,129
268,82,135,130
268,82,145,131
268,82,151,132
268,90,95,133
268,90,105,134
268,90,115,135
268,90,125,136
268,90,135,137
268,90,145,138
268,90,151,139
278,2,95,140
278,2,105,141
278,2,115,142
278,2,125,143
278,2,135,144
278,2,145,145
278,2,151,146
278,12,95,147
278,12,105,148
278,12,115,149
278,12,125,150
278,12,135,151
278,12,145,152
278,12,151,153
278,22,95,154
278,22,105,155
278,22,115,156
278,22,125,157
278,22,135,158
278,22,145,159
278,22,151,160
278,32,95,161
278,32,105,162
278,32,115,163
278,32,125,164
278,32,135,165
278,32,145,166
278,32,151,167
278,42,95,168
278,42,105,169
278,42,115,170
278,42,125,171
278,42,135,172
278,42,145,173
278,42,151,174
278,52,95,175
278,52,105,176
278,52,115,177
278,52,125,178
278,52,135,179
278,52,145,180
278,52,151,181
278,62,95,182
278,62,105,183
278,62,115,184
278,62,125,185
278,62,135,186
278,62,145,187
278,62,151,188
278,72,95,189
278,72,105,190
278,72,115,191
278,72,125,192
278,72,135,193
278,72,145,194
278,72,151,195
278,82,95,196
278,82,105,197
278,82,115,198
278,82,125,199
278,82,135,200
278,82,145,201
278,82,151,202
278,90,95,203
278,90,105,204
278,90,115,205
278,90,125,206
278,90,135,207
278,90,145,208
278,90,151,209
288,2,95,210
288,2,105,211
288,2,115,212
288,2,125,213
288,2,135,214
288,2,145,215
288,2,151,216
288,12,95,217
288,12,105,218
288,12,115,219
288,12,125,220
288,12,135,221
288,12,145,222
288,12,151,223
288,22,95,224
288,22,105,225
288,22,115,226
288,22,125,227
288,22,135,228
288,22,145,229
288,22,151,230
288,32,95,231
288,32,105,232
288,32,115,233
288,32,125,234
288,32,135,235
288,32,145,236
288,32,151,237
288,42,95,238
288,42,105,239
288,42,115,240
288,42,125,241
288,42,135,242
288,42,145,243
288,42,151,244
288,52,95,245
288,52,105,246
288,52,115,247
288,52,125,248
288,52,135,249
288,52,145,250
288,52,151,251
288,62,95,252
288,62,105,253
288,62,115,254
288,62,125,255
288,62,135,256
288,62,145,257
288,62,151,258
288,72,95,259
288,72,105,260
288,72,115,261
288,72,125,262
288,72,135,263
288,72,145,264
288,72,151,265
288,82,95,266
288,82,105,267
288,82,115,268
288,82,125,269
288,82,135,270
288,82,145,271
288,82,151,272
288,90,95,273
288,90,105,274
288,90,115,275
288,90,125,276
288,90,135,277
288,90,145,278
288,90,151,279
298,2,95,280
298,2,105,281
298,2,115,282
298,2,125,283
298,2,135,284
298,2,145,285
298,2,151,286
298,12,95,287
298,12,105,288
298,12,115,289
298,12,125,290
298,12,135,291
298,12,145,292
298,12,151,293
298,22,95,294
298,22,105,295
298,22,115,296
298,22,125,297
298,22,135,298
298,22,145,299
298,22,151,300
298,32,95,301
298,32,105,302
298,32,115,303
298,32,125,304
298,32,135,305
298,32,145,306
298,32,151,307
298,42,95,308
298,42,105,309
298,42,115,310
298,42,125,311
298,42,135,312
298,42,145,313
298,42,151,314
298,52,95,315
298,52,105,316
298,52,115,317
298,52,125,318
298,52,135,319
298,52,145,320
298,52,151,321
298,62,95,322
298,62,105,323
298,62,115,324
298,62,125,325
298,62,135,326
298,62,145,327
298,62,151,328
298,72,95,329
298,72,105,330
298,72,115,331
298,72,125,332
298,72,135,333
298,72,145,334
298,72,151,335
298,82,95,336
298,82,105,337
298,82,115,338
298,82,125,339
298,82,135,340
298,82,145,341
298,82,151,342
298,90,95,343
298,90,105,344
298,90,115,345
298,90,125,346
298,90,135,347
298,90,145,348
298,90,151,349
308,2,95,350
308,2,105,351
308,2,115,352
308,2,125,353
308,2,135,354
308,2,145,355
308,2,151,356
308,12,95,357
308,12,105,358
308,12,115,359
308,12,125,360
308,12,135,361
308,12,145,362
308,12,151,363
308,22,95,364
308,22,105,365
308,22,115,366
308,22,125,367
308,22,135,368
308,22,145,369
308,22,151,370
308,32,95,371
308,32,105,372
308,32,115,373
308,32,125,374
308,32,135,375
308,32,145,376
308,32,151,377
308,42,95,378
308,42,105,379
308,42,115,380
308,42,125,381
308,42,135,382
308,42,145,383
308,42,151,384
308,52,95,385
308,52,105,386
308,52,115,387
308,52,125,388
308,52,135,389
308,52,145,390
308,52,151,391
308,62,95,392
308,62,105,393
308,62,115,394
308,62,125,395
308,62,135,396
308,62,145,397
308,62,151,398
308,72,95,399
308,72,105,400
308,72,115,401
308,72,125,402
308,72,135,403
308,72,145,404
308,72,151,405
308,82,95,406
308,82,105,407
308,82,115,408
308,82,125,409
308,82,135,410
308,82,145,411
308,82,151,412
308,90,95,413
308,90,105,414
308,90,115,415
308,90,125,416
308,90,135,417
308,90,145,418
308,90,151,419
318,2,95,420
318,2,105,421
318,2,115,422
318,2,125,423
318,2,135,424
318,2,145,425
318,2,151,426
318,12,95,427
318,12,105,428
318,12,115,429
318,12,125,430
318,12,135,431
318,12,145,432
318,12,151,433
318,22,95,434
318,22,105,435
318,22,115,436
318,22,125,437
318,22,135,438
318,22,145,439
318,22,151,440
318,32,95,441
318,32,105,442
318,32,115,443
318,32,125,444
318,32,135,445
318,32,145,446
318,32,151,447
318,42,95,448
318,42,105,449
318,42,115,450
318,42,125,451
318,42,135,452
318,42,145,453
318,42,151,454
318,52,95,455
318,52,105,456
318,52,115,457
318,52,125,458
318,52,135,459
318,52,145,460
318,52,151,461
318,62,95,462
318,62,105,463
318,62,115,464
318,62,125,465
318,62,135,466
318,62,145,467
318,62,151,468
318,72,95,469
318,72,105,470
318,72,115,471
318,72,125,472
318,72,135,473
318,72,145,474
318,72,151,475
318,82,95,476
318,82,105,477
318,82,115,478
318,82,125,479
318,82,135,480
318,82,145,481
318,82,151,482
318,90,95,483
318,90,105,484
318,90,115,485
318,90,125,486
318,90,135,487
318,90,145,488
318,90,151,489
328,2,95,490
328,2,105,491
328,2,115,492
328,2,125,493
328,2,135,494
328,2,145,495
328,2,151,496
328,12,95,497
328,12,105,498
328,12,115,499
328,12,125,500
328,12,135,501
328,12,145,502
328,12,151,503
328,22,95,504
328,22,105,505
328,22,115,506
328,22,125,507
328,22,135,508
328,22,145,509
328,22,151,510
328,32,95,511
328,32,105,512
328,32,115,513
328,32,125,514
328,32,135,515
328,32,145,516
328,32,151,517
328,42,95,518
328,42,105,519
328,42,115,520
328,42,125,521
328,42,135,522
328,42,145,523
328,42,151,524
328,52,95,525
328,52,105,526
328,52,115,527
328,52,125,528
328,52,135,529
328,52,145,530
328,52,151,531
328,62,95,532
328,62,105,533
328,62,115,534
328,62,125,535
328,62,135,536
328,62,145,537
328,62,151,538
328,72,95,539
328,72,105,540
328,72,115,541
328,72,125,542
328,72,135,543
328,72,145,544
328,72,151,545
328,82,95,546
328,82,105,547
328,82,115,548
328,82,125,549
328,82,135,550
328,82,145,551
328,82,151,552
328,90,95,553
328,90,105,554
328,90,115,555
328,90,125,556
328,90,135,557
328,90,145,558
328,90,151,559
338,2,95,560
338,2,105,561
338,2,115,562
338,2,125,563
338,2,135,564
338,2,145,565
338,2,151,566
338,12,95,567
338,12,105,568
338,12,115,569
338,12,125,570
338,12,135,571
338,12,145,572
338,12,151,573
338,22,95,574
338,22,105,575
338,22,115,576
338,22,125,577
338,22,135,578
338,22,145,579
338,22,151,580
338,32,95,581
338,32,105,582
338,32,115,583
338,32,125,584
338,32,135,585
338,32,145,586
338,32,151,587
338,42,95,588
338,42,105,589
338,42,115,590
338,42,125,591
338,42,135,592
338,42,145,593
338,42,151,594
338,52,95,595
338,52,105,596
338,52,115,597
338,52,125,598
338,52,135,599
338,52,145,600
338,52,151,601
338,62,95,602
338,62,105,603
338,62,115,604
338,62,125,605
338,62,135,606
338,62,145,607
338,62,151,608
338,72,95,609
338,72,105,610
338,72,115,611
338,72,125,612
338,72,135,613
338,72,145,614
338,72,151,615
338,82,95,616
338,82,105,617
338,82,115,618
338,82,125,619
338,82,135,620
338,82,145,621
338,82,151,622
338,90,95,623
338,90,105,624
338,90,115,625
338,90,125,626
338,90,135,627
338,90,145,628
338,90,151,629
348,2,95,630
348,2,105,631
348,2,115,632
348,2,125,633
348,2,135,634
348,2,145,635
348,2,151,636
348,12,95,637
348,12,105,638
348,12,115,639
348,12,125,640
348,12,135,641
348,12,145,642
348,12,151,643
348,22,95,644
348,22,105,645
348,22,115,646
348,22,125,647
348,22,135,648
348,22,145,649
348,22,151,650
348,32,95,651
348,32,105,652
348,32,115,653
348,32,125,654
348,32,135,655
348,32,145,656
348,32,151,657
348,42,95,658
348,42,105,659
348,42,115,660
348,42,125,661
348,42,135,662
348,42,145,663
348,42,151,664
348,52,95,665
348,52,105,666
348,52,115,667
348,52,125,668
348,52,135,669
348,52,145,670
348,52,151,671
348,62,95,672
348,62,105,673
348,62,115,674
348,62,125,675
348,62,135,676
348,62,145,677
348,62,151,678
348,72,95,679
348,72,105,680
348,72,115,681
348,72,125,682
348,72,135,683
348,72,145,684
348,72,151,685
348,82,95,686
348,82,105,687
348,82,115,688
348,82,125,689
348,82,135,690
348,82,145,691
348,82,151,692
348,90,95,693
348,90,105,694
348,90,115,695
348,90,125,696
348,90,135,697
348,90,145,698
348,90,151,699
349,2,95,700
349,2,105,701
349,2,115,702
349,2,125,703
349,2,135,704
349,2,145,705
349,2,151,706
349,12,95,707
349,12,105,708
349,12,115,709
349,12,125,710
349,12,135,711
349,12,145,712
349,12,151,713
349,22,95,714
349,22,105,715
349,22,115,716
349,22,125,717
349,22,135,718
349,22,145,719
349,22,151,720
349,32,95,721
349,32,105,722
349,32,115,723
349,32,125,724
349,32,135,725
349,32,145,726
349,32,151,727
349,42,95,728
349,42,105,729
349,42,115,730
349,42,125,731
349,42,135,732
349,42,145,733
349,42,151,734
349,52,95,735
349,52,105,736
349,52,115,737
349,52,125,738
349,52,135,739
349,52,145,740
349,52,151,741
349,62,95,742
349,62,105,743
349,62,115,744
349,62,125,745
349,62,135,746
349,62,145,747
349,62,151,748
349,72,95,749
349,72,105,750
349,72,115,751
349,72,125,752
349,72,135,753
349,72,145,754
349,72,151,755
349,82,95,756
349,82,105,757
349,82,115,758
349,82,125,759
349,82,135,760
349,82,145,761
349,82,151,762
349,90,95,763
349,90,105,764
349,90,115,765
349,90,125,766
349,90,135,767
349,90,145,768
349,90,151,769
