age_cov,cov_all,fast_fraction,fulldate,grid_cell,min_season_cov
0.65,0.25,0.6,2009-06-02,37,0.5
0.65,0.32,0.6,2010-06-02,37,0.5
0.65,0.375,0.6,2011-06-02,37,0.5
0.65,0.3,0.6,2012-06-02,37,0.5
0.65,0.25,0.6,2009-06-02,38,0.5
0.65,0.32,0.6,2010-06-02,38,0.5
0.65,0.375,0.6,2011-06-02,38,0.5
0.65,0.3,0.6,2012-06-02,38,0.5
0.65,0.25,0.6,2009-06-02,39,0.5
0.65,0.32,0.6,2010-06-02,39,0.5
0.65,0.375,0.6,2011-06-02,39,0.5
0.65,0.3,0.6,2012-06-02,39,0.5
0.65,0.25,0.6,2009-06-02,40,0.5
0.65,0.32,0.6,2010-06-02,40,0.5
0.65,0.375,0.6,2011-06-02,40,0.5
0.65,0.28571428571428603,0.6,2011-06-15,40,0.5
0.65,0.3,0.6,2012-06-02,40,0.5
0.65,0.25,0.6,2009-06-02,41,0.5
0.65,0.32,0.6,2010-06-02,41,0.5
0.65,0.375,0.6,2011-06-02,41,0.5
0.65,0.6,0.6,2012-04-18,41,0.5
0.65,0.3,0.6,2012-06-02,41,0.5
0.65,0.25,0.6,2009-06-02,42,0.5
0.65,0.32,0.6,2010-06-02,42,0.5
0.65,0.6,0.6,2010-07-07,42,0.5
0.65,0.375,0.6,2011-06-02,42,0.5
0.65,0.3,0.6,2012-06-02,42,0.5
0.65,0.25,0.6,2009-06-02,43,0.5
0.65,0.32,0.6,2010-06-02,43,0.5
0.65,0.375,0.6,2011-06-02,43,0.5
0.65,0.3,0.6,2012-06-02,43,0.5
0.65,0.25,0.6,2009-06-02,44,0.5
0.65,0.32,0.6,2010-06-02,44,0.5
0.65,0.375,0.6,2011-06-02,44,0.5
0.65,0.3,0.6,2012-06-02,44,0.5
0.65,0.25,0.6,2009-06-02,45,0.5
0.65,0.32,0.6,2010-06-02,45,0.5
0.65,0.375,0.6,2011-06-02,45,0.5
0.65,0.3,0.6,2012-06-02,45,0.5
0.65,0.25,0.6,2009-06-02,46,0.5
0.65,0.32,0.6,2010-06-02,46,0.5
0.65,0.375,0.6,2011-06-02,46,0.5
0.65,0.3,0.6,2012-06-02,46,0.5
0.65,0.5,0.6,2014-06-05,46,0.5
0.65,0.5,0.6,2017-06-05,46,0.5
0.65,0.25,0.6,2009-06-02,47,0.5
0.65,0.32,0.6,2010-06-02,47,0.5
0.65,0.375,0.6,2011-06-02,47,0.5
0.65,0.3,0.6,2012-06-02,47,0.5
0.65,0.9,0.6,2015-01-10,47,0.5
0.65,0.25,0.6,2009-06-02,48,0.5
