archetype,drug_type,screen_type,interval,itn_coverage,hs_rate,within_school_coverage,out_of_school_rate,smc,scenario_number
Southern,ASAQ,IPT,term,default,default,0.9,0.0,False,0
Southern,ASAQ,IPT,term,default,default,0.9,0.15,False,1
Southern,ASAQ,IPT,term,default,default,0.9,0.3,False,2
Southern,ASAQ,IPT,month,default,default,0.9,0.0,False,3
Southern,ASAQ,IPT,month,default,default,0.9,0.15,False,4
Southern,ASAQ,IPT,month,default,default,0.9,0.3,False,5
Southern,ASAQ,IST,term,default,default,0.9,0.0,False,6
Southern,ASAQ,IST,term,default,default,0.9,0.15,False,7
Southern,ASAQ,IST,term,default,default,0.9,0.3,False,8
Southern,ASAQ,IST,month,default,default,0.9,0.0,False,9
Southern,ASAQ,IST,month,default,default,0.9,0.15,False,10
Southern,ASAQ,IST,month,default,default,0.9,0.3,False,11
Southern,DP,IPT,term,default,default,0.9,0.0,False,12
Southern,DP,IPT,term,default,default,0.9,0.15,False,13
Southern,DP,IPT,term,default,default,0.9,0.3,False,14
Southern,DP,IPT,month,default,default,0.9,0.0,False,15
Southern,DP,IPT,month,default,default,0.9,0.15,False,16
Southern,DP,IPT,month,default,default,0.9,0.3,False,17
Southern,DP,IST,term,default,default,0.9,0.0,False,18
Southern,DP,IST,term,default,default,0.9,0.15,False,19
Southern,DP,IST,term,default,default,0.9,0.3,False,20
Southern,DP,IST,month,default,default,0.9,0.0,False,21
Southern,DP,IST,month,default,default,0.9,0.15,False,22
Southern,DP,IST,month,default,default,0.9,0.3,False,23
Southern,DP,IPT,month,high,default,0.9,0.15,False,24
Southern,DP,IPT,month,default,low,0.9,0.15,False,25
Southern,DP,IPT,month,default,default,1.0,0.15,False,26
Southern,DP,IPT,day,default,default,1.0,0.0,False,27
Southern,None,None,None,default,default,0.9,0.0,False,28
Southern,None,None,None,high,default,0.9,0.15,False,29
Central,ASAQ,IPT,term,default,default,0.9,0.0,False,0
Central,ASAQ,IPT,term,default,default,0.9,0.15,False,1
Central,ASAQ,IPT,term,default,default,0.9,0.3,False,2
Central,ASAQ,IPT,month,default,default,0.9,0.0,False,3
Central,ASAQ,IPT,month,default,default,0.9,0.15,False,4
Central,ASAQ,IPT,month,default,default,0.9,0.3,False,5
Central,ASAQ,IST,term,default,default,0.9,0.0,False,6
Central,ASAQ,IST,term,default,default,0.9,0.15,False,7
Central,ASAQ,IST,term,default,default,0.9,0.3,False,8
Central,ASAQ,IST,month,default,default,0.9,0.0,False,9
Central,ASAQ,IST,month,default,default,0.9,0.15,False,10
Central,ASAQ,IST,month,default,default,0.9,0.3,False,11
Central,DP,IPT,term,default,default,0.9,0.0,False,12
Central,DP,IPT,term,default,default,0.9,0.15,False,13
Central,DP,IPT,term,default,default,0.9,0.3,False,14
Central,DP,IPT,month,default,default,0.9,0.0,False,15
Central,DP,IPT,month,default,default,0.9,0.15,False,16
Central,DP,IPT,month,default,default,0.9,0.3,False,17
Central,DP,IST,term,default,default,0.9,0.0,False,18
Central,DP,IST,term,default,default,0.9,0.15,False,19
Central,DP,IST,term,default,default,0.9,0.3,False,20
Central,DP,IST,month,default,default,0.9,0.0,False,21
Central,DP,IST,month,default,default,0.9,0.15,False,22
Central,DP,IST,month,default,default,0.9,0.3,False,23
Central,DP,IPT,month,high,default,0.9,0.15,False,24
Central,DP,IPT,month,default,low,0.9,0.15,False,25
Central,DP,IPT,month,default,default,1.0,0.15,False,26
Central,DP,IPT,day,default,default,1.0,0.0,False,27
Central,None,None,None,default,default,0.9,0.0,False,28
Central,None,None,None,high,default,0.9,0.15,False,29
Eastern,ASAQ,IPT,term,default,default,0.9,0.0,False,0
Eastern,ASAQ,IPT,term,default,default,0.9,0.15,False,1
Eastern,ASAQ,IPT,term,default,default,0.9,0.3,False,2
Eastern,ASAQ,IPT,month,default,default,0.9,0.0,False,3
Eastern,ASAQ,IPT,month,default,default,0.9,0.15,False,4
Eastern,ASAQ,IPT,month,default,default,0.9,0.3,False,5
Eastern,ASAQ,IST,term,default,default,0.9,0.0,False,6
Eastern,ASAQ,IST,term,default,default,0.9,0.15,False,7
Eastern,ASAQ,IST,term,default,default,0.9,0.3,False,8
Eastern,ASAQ,IST,month,default,default,0.9,0.0,False,9
Eastern,ASAQ,IST,month,default,default,0.9,0.15,False,10
Eastern,ASAQ,IST,month,default,default,0.9,0.3,False,11
Eastern,SPAQ,IPT,term,default,default,0.9,0.0,False,12
Eastern,SPAQ,IPT,term,default,default,0.9,0.15,False,13
Eastern,SPAQ,IPT,term,default,default,0.9,0.3,False,14
Eastern,SPAQ,IPT,month,default,default,0.9,0.0,False,15
Eastern,SPAQ,IPT,month,default,default,0.9,0.15,False,16
Eastern,SPAQ,IPT,month,default,default,0.9,0.3,False,17
Eastern,SPAQ,IST,term,default,default,0.9,0.0,False,18
Eastern,SPAQ,IST,term,default,default,0.9,0.15,False,19
