year,cov_all,source
2000,0.05912753044917405,amelia usage for ssa
2001,0.04334885716323021,amelia usage for ssa
2002,0.03442872995827497,amelia usage for ssa
2003,0.03248375777947267,amelia usage for ssa
2004,0.040428116748449976,amelia usage for ssa
2005,0.060109814844276035,amelia usage for ssa
2006,0.12138424110602902,amelia usage for ssa
2007,0.18342364623424248,amelia usage for ssa
2008,0.21583934573267408,amelia usage for ssa
2009,0.27471623983648813,amelia usage for ssa
2010,0.36037132238709846,amelia usage for ssa
2011,0.4481054319099935,amelia usage for ssa
2012,0.471147173900039,amelia usage for ssa
2013,0.4770902506313294,amelia usage for ssa
2014,0.5371813346447121,amelia usage for ssa
2015,0.6013074154071438,amelia usage for ssa
2016,0.6286337143659622,amelia usage for ssa
2017,0.6930830812721438,amelia usage for ssa
2018,0.6751004801563371,amelia usage for ssa
2019,0.6460916625981579,amelia usage for ssa
2020,0.6600207694323134,amelia usage for ssa
